                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2955,                 1.7055,                 1.1483,                0.70719,                0.60656,                0.66727,                0.41622,                 1.1675,                0.87231,                 1.0379,             0.00033122,             0.00033122,             0.00033122
                      2,                 1.2041,                0.96077,                 1.0915,                0.71547,                0.65522,                0.73128,                 0.4718,                 1.1622,                0.82957,                 1.0361,             0.00063824,             0.00063824,             0.00063824
                      3,                 1.2152,                0.91552,                 1.0904,                0.70909,                0.71321,                0.74471,                0.44493,                 1.1854,                0.83074,                 1.0522,             0.00091886,             0.00091886,             0.00091886
                      4,                 1.2032,                0.87544,                 1.0871,                0.75922,                 0.6619,                0.75683,                0.46976,                 1.1556,                0.80075,                  1.042,              0.0008812,              0.0008812,              0.0008812
                      5,                  1.168,                0.84061,                 1.0787,                0.83097,                0.69695,                0.79129,                 0.5095,                 1.1276,                0.75327,                 1.0253,              0.0008416,              0.0008416,              0.0008416
                      6,                 1.1524,                0.80259,                 1.0568,                 0.8076,                0.71697,                0.80127,                0.53673,                  1.142,                0.72931,                 1.0219,               0.000802,               0.000802,               0.000802
                      7,                 1.1229,                0.76466,                  1.048,                0.83244,                0.78124,                0.83801,                0.56819,                 1.1215,                0.70688,                 1.0119,              0.0007624,              0.0007624,              0.0007624
                      8,                 1.1043,                0.73526,                 1.0416,                0.83032,                0.77266,                0.82835,                0.56184,                 1.0986,                0.71596,                  1.007,              0.0007228,              0.0007228,              0.0007228
                      9,                 1.0939,                0.72019,                 1.0347,                0.84116,                0.78402,                 0.8491,                0.57621,                 1.0789,                0.66971,                0.99855,              0.0006832,              0.0006832,              0.0006832
                     10,                 1.0667,                 0.6983,                 1.0229,                0.82866,                0.81295,                0.86476,                0.58953,                 1.0909,                0.67613,                 1.0016,              0.0006436,              0.0006436,              0.0006436
                     11,                 1.0549,                0.68127,                 1.0184,                0.83051,                0.79873,                0.86041,                0.59196,                 1.0548,                0.64708,                0.98545,               0.000604,               0.000604,               0.000604
                     12,                 1.0486,                0.66786,                 1.0107,                0.84232,                0.81026,                0.86638,                0.59937,                 1.0547,                0.63845,                0.98432,              0.0005644,              0.0005644,              0.0005644
                     13,                 1.0366,                0.64897,                 1.0065,                0.84355,                0.80339,                0.87535,                0.61876,                 1.0427,                0.62684,                0.97543,              0.0005248,              0.0005248,              0.0005248
                     14,                 1.0051,                0.63972,                 0.9932,                0.83656,                0.83759,                 0.8788,                0.62911,                 1.0379,                0.62537,                0.97426,              0.0004852,              0.0004852,              0.0004852
                     15,                0.99396,                0.62097,                0.98841,                0.84855,                 0.8296,                0.88518,                0.63181,                 1.0414,                0.61481,                0.97925,              0.0004456,              0.0004456,              0.0004456
                     16,                0.99837,                 0.6056,                 0.9863,                0.86617,                  0.815,                0.88924,                0.63464,                 1.0296,                0.60901,                0.97369,               0.000406,               0.000406,               0.000406
                     17,                0.97744,                 0.5801,                0.97886,                0.87862,                0.83841,                0.89286,                0.64437,                 1.0295,                  0.607,                0.97232,              0.0003664,              0.0003664,              0.0003664
                     18,                0.96361,                0.56551,                0.96697,                0.87755,                0.84749,                 0.9025,                0.66029,                 1.0044,                0.58877,                0.95933,              0.0003268,              0.0003268,              0.0003268
                     19,                0.94347,                0.55418,                0.96056,                0.89511,                0.84898,                0.90697,                0.66844,                0.99613,                0.58087,                0.95723,              0.0002872,              0.0002872,              0.0002872
                     20,                0.93469,                0.53861,                0.95416,                 0.8801,                0.85129,                0.90496,                0.67028,                0.99318,                0.57457,                0.95599,              0.0002476,              0.0002476,              0.0002476
                     21,                0.91134,                0.52092,                0.94818,                0.87032,                0.86083,                0.90736,                0.67683,                 0.9854,                0.56716,                 0.9533,               0.000208,               0.000208,               0.000208
                     22,                0.89385,                0.51135,                   0.94,                0.88443,                0.86033,                0.91125,                0.68381,                0.98496,                0.55848,                0.95379,              0.0001684,              0.0001684,              0.0001684
                     23,                0.87759,                0.49572,                0.93557,                0.89066,                0.86901,                0.91705,                0.69337,                0.96734,                0.54514,                 0.9464,              0.0001288,              0.0001288,              0.0001288
                     24,                0.86718,                 0.4863,                0.92727,                0.90241,                0.86874,                0.91795,                0.69533,                 0.9639,                0.54214,                0.94458,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                0.85547,                0.47527,                0.92584,                0.90252,                0.86926,                0.91817,                0.69718,                0.95317,                0.53544,                 0.9409,               4.96e-05,               4.96e-05,               4.96e-05
